domain,domain_Age,lifeSpan,registrar_Country,host_Country,Same_Registrar_Host_Country,Privacy,TLD,cheap_TLD,domain_Has_Hyphen,domain_Has_Digits,top1m
nasa.gov,26.19178082,26,REDACTED FOR PRIVACY,UNITED STATES,False,True,gov,False,False,False,True
g.page,5.350684932,6,UNITED STATES,UNITED STATES,True,True,page,False,False,False,True
arcgis.com,24.50410959,25,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
slideshare.net,17.67945205,18,UNITED KINGDOM,CANADA,False,False,net,False,False,False,True
scientificamerican.com,26.6109589,27,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
sina.com.cn,25.05753425,28,,CHINA,False,False,com.cn,False,False,False,True
digg.com,23.80273973,28,ICELAND,CANADA,False,False,com,False,False,False,True
cam.ac.uk,20.23013699,0,UNITED KINGDOM,UNITED KINGDOM,True,False,ac.uk,False,False,False,True
bbc.com,34.41369863,40,UNITED KINGDOM,CANADA,False,True,com,False,False,False,True
britannica.com,28.49589041,28,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
netflix.com,26.08219178,27,UNITED STATES,IRELAND,False,False,com,False,False,False,True
docker.com,28.87945205,29,UNITED STATES,UNITED STATES,True,True,com,False,False,False,True
gizmodo.com,21.44109589,22,UNITED STATES,CANADA,False,False,com,False,False,False,True
wikimedia.org,20.7369863,21,UNITED STATES,THE NETHERLANDS,False,True,org,False,False,False,True
sciencedirect.com,26.75068493,27,UK,CANADA,False,False,com,False,False,False,True
debian.org,24.75616438,25,UNITED STATES,CANADA,False,True,org,False,False,False,True
indeed.com,25.70136986,25,UNITED STATES,CANADA,False,False,com,False,False,False,True
launchpad.net,19.86849315,20,UNITED KINGDOM,UNITED KINGDOM,True,False,net,False,False,False,True
sitemaps.org,22.3260274,23,UNITED STATES,UNITED STATES,True,True,org,False,False,False,False
bloomberg.com,30.20273973,30,UNITED STATES,CANADA,False,False,com,False,False,False,True
mckinsey.com,33.56164384,34,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
whitehouse.gov,26.19178082,26,REDACTED FOR PRIVACY,UNITED STATES,False,True,gov,False,False,False,True
tinyurl.com,21.86849315,27,UNITED STATES,CANADA,False,True,com,False,False,False,True
psu.edu,37.41917808,0,UNITED STATES,UNITED STATES,True,False,edu,False,False,False,True
hubspot.com,18.83561644,20,UNITED STATES,CANADA,False,False,com,False,False,False,True
wikipedia.org,22.90684932,22,UNITED STATES,THE NETHERLANDS,False,True,org,False,False,False,True
scribd.com,17.20547945,18,UNITED STATES,CANADA,False,True,com,False,False,False,True
sun.com,37.73972603,38,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
plesk.com,24.49315068,26,SWITZERLAND,CANADA,False,False,com,False,False,False,True
zoom.us,21.62739726,22,UNITED STATES,UNITED STATES,True,False,us,True,False,False,True
umich.edu,38.18630137,0,UNITED STATES,UNITED STATES,True,False,edu,False,False,False,True
medium.com,25.54246575,25,UNITED KINGDOM,CANADA,False,False,com,False,False,False,True
telegraph.co.uk,27.36164384,0,,IRELAND,False,False,co.uk,False,False,False,True
intel.com,37.72328767,40,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
economist.com,29.03835616,32,UNITED KINGDOM,CANADA,False,True,com,False,False,False,True
apple.com,36.81643836,38,UNITED STATES,UNITED STATES,True,True,com,False,False,False,True
canva.com,22.6,23,AUSTRALIA,CANADA,False,True,com,False,False,False,True
indiatimes.com,27.05205479,27,CANADA,FRANCE,False,False,com,False,False,False,True
cdc.gov,26.19178082,26,REDACTED FOR PRIVACY,UNITED STATES,False,True,gov,False,False,False,True
googleblog.com,21.44931507,22,UNITED STATES,FRANCE,False,False,com,False,False,False,True
nbcnews.com,26.46027397,27,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
