domain,age,total_life,updatedFor,R_Country,H_Country,Same_RH_Country,Privacy,TLD,cheap_TLD,dom_has_hyphen,dom_has_digits,top1m,has_Social,external_links,internal_links,label
osakastreetwear.com-2021-7_2022-10,2,3,1,5,1,0,0,1,0,0,0,0,0,0,0,1
osakastreetwear.com-2021-1_2022-10,2,2,0,3,1,0,0,1,0,0,0,0,0,0,0,1
appeards.com-2023-8_2023-11,5,6,1,1,1,1,0,1,0,0,0,0,0,0,3,1
appeards.com-2022-9_2023-6,4,5,1,1,1,1,0,1,0,0,0,0,0,0,3,1
appeards.com-2022-8_2023-11,4,5,1,40,16,0,0,1,0,0,0,0,0,0,3,1
appeards.com-2021-8_2022-11,3,4,1,40,1,0,0,1,0,0,0,0,0,0,3,1
skylifeboutique.com-2022-2_2022-1,7,8,1,1,1,1,0,1,0,0,0,0,1,6,0,1
youcreateyourlife.com-2023-4_2023-4,0,1,1,11,10,0,1,1,0,0,0,0,0,0,0,1
youcreateyourlife.com-2022-1_2023-4,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,1
bikecomputer.co-2023-9_2024-1,7,8,1,1,1,1,1,43,0,0,0,0,1,14,0,1
bikecomputer.co-2022-9_2023-5,6,7,1,1,1,1,1,43,0,0,0,0,1,14,0,1
bikecomputer.co-2021-9_2022-12,5,6,1,1,1,1,1,43,0,0,0,0,1,14,0,1
bikecomputer.co-2021-9_2022-12,5,6,1,44,1,0,1,43,0,0,0,0,1,14,0,1
bikecomputer.co-2021-9_2022-12,5,6,1,44,1,0,1,43,0,0,0,0,1,14,0,1
bikecomputer.co-2021-9_2022-12,5,5,0,44,1,0,1,43,0,0,0,0,1,14,0,1
ericpsychic.com-2024-2_2023-6,6,7,1,30,1,0,0,1,0,0,0,0,1,2,13,1
ericpsychic.com-2023-1_2023-6,5,6,1,30,1,0,0,1,0,0,0,0,1,2,13,1
ericpsychic.com-2023-1_2023-6,5,6,1,30,1,0,0,1,0,0,0,0,1,2,13,1
ericpsychic.com-2022-1_2023-6,4,5,1,30,1,0,0,1,0,0,0,0,1,2,13,1
ericpsychic.com-2022-1_2023-6,4,5,1,30,1,0,0,1,0,0,0,0,1,2,13,1
pigzbe.com-2023-2_2023-9,1,2,1,27,10,0,0,1,0,0,0,0,0,18,27,1
pigzbe.com-2022-12_2023-9,0,2,2,27,10,0,0,1,0,0,0,0,0,18,27,1
pigzbe.com-2022-4_2023-9,0,1,1,1,1,1,0,1,0,0,0,0,0,18,27,1
pigzbe.com-2022-3_2023-9,0,1,1,12,1,0,0,1,0,0,0,0,0,18,27,1
pigzbe.com-2022-2_2023-9,4,4,0,3,1,0,0,1,0,0,0,0,0,18,27,1
pigzbe.com-2021-5_2022-12,3,4,1,3,1,0,0,1,0,0,0,0,0,14,27,1
pigzbe.com-2021-2_2022-12,3,4,1,3,1,0,0,1,0,0,0,0,0,14,27,1
travelpackageoffl.com-2023-2_2022-12,5,5,0,1,1,1,0,1,0,0,0,0,0,1,0,1
dankmemeapparel.com-2023-8_2023-10,5,6,1,3,1,0,0,1,0,0,0,0,1,7,3,1
dankmemeapparel.com-2022-8_2023-5,4,5,1,3,1,0,0,1,0,0,0,0,1,7,3,1
dankmemeapparel.com-2021-8_2022-12,3,4,1,3,1,0,0,1,0,0,0,0,1,7,3,1
shoeshinee.com-2021-12_2020-7,2,3,1,1,1,1,0,1,0,0,0,0,0,0,0,1
west-38.com-2023-1_2023-9,4,6,2,11,11,1,1,1,0,1,1,0,1,8,16,1
west-38.com-2022-6_2023-9,3,4,1,11,11,1,1,1,0,1,1,0,1,8,16,1
west-38.com-2021-1_2022-12,2,4,2,11,11,1,1,1,0,1,1,0,1,8,15,1
franchisedictionarymagazine.com-2023-10_2024-1,6,7,1,1,1,1,0,1,0,0,0,0,1,10,88,1
franchisedictionarymagazine.com-2022-10_2023-6,5,6,1,1,1,1,0,1,0,0,0,0,1,10,90,1
franchisedictionarymagazine.com-2021-10_2022-6,4,5,1,1,1,1,0,1,0,0,0,0,1,10,104,1
myblondeambition.com-2022-10_2021-6,5,6,1,1,1,1,0,1,0,0,0,0,0,0,0,1
myblondeambition.com-2021-10_2021-6,4,6,2,1,1,1,0,1,0,0,0,0,0,0,0,1
myblondeambition.com-2021-10_2021-6,4,6,2,43,1,0,0,1,0,0,0,0,0,0,0,1
launchpad.net-2023-12_2024-2,19,22,3,11,11,1,0,5,0,0,0,1,0,6,22,1
launchpad.net-2021-12_2022-9,17,20,3,11,1,0,0,5,0,0,0,1,1,6,22,1
launchpad.net-2021-12_2022-9,17,20,3,11,11,1,0,5,0,0,0,1,1,6,22,1
aspiregear.com-2022-11_2023-8,0,2,2,1,3,0,0,1,0,0,0,0,0,0,65,1
aspiregear.com-2022-8_2023-11,0,1,1,4,1,0,0,1,0,0,0,0,0,0,65,1
aspiregear.com-2022-5_2023-11,6,7,1,3,1,0,0,1,0,0,0,0,0,0,65,1
aspiregear.com-2021-5_2022-11,5,6,1,3,1,0,0,1,0,0,0,0,0,0,49,1
cpavox.com-2022-6_2021-2,3,4,1,2,1,0,0,1,0,0,0,0,0,0,3,1
cpavox.com-2021-5_2021-5,2,3,1,2,1,0,0,1,0,0,0,0,0,0,3,1
indeed.com-2023-2_2023-9,25,26,1,1,1,1,0,1,0,0,0,1,0,5,22,1
indeed.com-2022-12_2023-9,24,25,1,1,1,1,0,1,0,0,0,1,0,5,22,1
indeed.com-2022-2_2023-9,24,25,1,1,45,0,0,1,0,0,0,1,0,5,22,1
indeed.com-2022-2_2023-9,24,25,1,1,15,0,0,1,0,0,0,1,0,5,22,1
indeed.com-2021-2_2022-12,23,24,1,1,45,0,0,1,0,0,0,1,0,6,24,1
uspss.org-2023-11_2023-5,1,2,1,9,9,0,1,3,0,0,0,0,1,101,0,1
uspss.org-2022-12_2023-5,0,1,1,9,1,0,1,3,0,0,0,0,1,101,0,1
uspss.org-2022-11_2023-5,0,1,1,9,1,0,1,3,0,0,0,0,1,101,0,1
uspss.org-2022-10_2023-5,1,1,0,2,1,0,1,3,0,0,0,0,1,101,0,1
uspss.org-2022-9_2023-5,1,2,1,2,1,0,1,3,0,0,0,0,1,101,0,1
uspss.org-2021-11_2022-8,0,1,1,2,1,0,1,3,0,0,0,0,0,0,0,1
uspss.org-2021-11_2022-8,0,1,1,2,1,0,0,3,0,0,0,0,0,0,0,1
uspss.org-2021-9_2022-3,0,1,1,2,1,0,0,3,0,0,0,0,0,0,0,1
uspss.org-2021-4_2022-8,1,2,1,2,1,0,0,3,0,0,0,0,0,0,0,1
carpartsmotor.com-2023-10_2022-4,6,7,1,3,3,1,0,1,0,0,0,0,1,14,126,1
carpartsmotor.com-2023-7_2022-4,6,6,0,1,3,0,0,1,0,0,0,0,1,14,126,1
carpartsmotor.com-2022-8_2022-4,5,6,1,1,1,1,0,1,0,0,0,0,1,14,126,1
carpartsmotor.com-2022-12_2022-4,5,6,1,1,1,1,0,1,0,0,0,0,1,14,126,1
carpartsmotor.com-2022-2_2022-4,5,5,0,1,1,1,0,1,0,0,0,0,1,14,126,1
carpartsmotor.com-2021-10_2022-4,4,5,1,1,1,1,0,1,0,0,0,0,1,14,126,1
carpartsmotor.com-2021-12_2022-4,4,5,1,1,1,1,0,1,0,0,0,0,1,14,126,1
mypyre.com-2023-11_2023-11,4,5,1,1,3,0,0,1,0,0,0,0,1,4,0,1
mypyre.com-2023-5_2023-11,4,5,1,1,3,0,0,1,0,0,0,0,1,4,0,1
mypyre.com-2023-5_2023-11,4,5,1,1,1,1,0,1,0,0,0,0,1,4,0,1
mypyre.com-2022-5_2023-11,3,4,1,1,1,1,0,1,0,0,0,0,1,4,0,1
mypyre.com-2021-5_2022-8,2,3,1,1,1,1,0,1,0,0,0,0,1,4,0,1
slicklane.com-2022-10_2021-5,4,5,1,1,1,1,0,1,0,0,0,0,1,3,4,1
slicklane.com-2022-7_2021-1,4,5,1,1,1,1,0,1,0,0,0,0,1,3,4,1
slicklane.com-2021-7_2021-9,3,4,1,1,1,1,0,1,0,0,0,0,1,3,6,1
reforest-iita.org-2023-10_2023-7,0,1,1,2,3,0,1,3,0,1,0,0,0,2,8,1
reforest-iita.org-2023-10_2023-7,0,1,1,2,1,0,1,3,0,1,0,0,0,2,8,1
reforest-iita.org-2023-9_2023-7,1,1,0,1,3,0,1,3,0,1,0,0,0,2,8,1
reforest-iita.org-2023-8_2023-7,1,2,1,1,10,0,1,3,0,1,0,0,0,2,8,1
reforest-iita.org-2022-8_2023-4,0,1,1,1,10,0,1,3,0,1,0,0,0,2,8,1
reforest-iita.org-2022-6_2022-12,1,1,0,2,1,0,1,3,0,1,0,0,0,2,8,1
reforest-iita.org-2022-5_2022-12,1,2,1,2,1,0,0,3,0,1,0,0,0,2,8,1
reforest-iita.org-2021-7_2022-12,0,1,1,2,10,0,0,3,0,1,0,0,0,2,8,1
reforest-iita.org-2021-5_2022-12,0,1,1,2,10,0,0,3,0,1,0,0,0,2,8,1
reforest-iita.org-2021-3_2022-12,9,10,1,1,1,1,0,3,0,1,0,0,0,2,8,1
yntravel.us-2023-9_2022-4,7,8,1,3,1,0,0,11,1,0,0,0,1,6,44,1
yntravel.us-2023-9_2022-4,7,7,0,1,1,1,0,11,1,0,0,0,1,6,44,1
yntravel.us-2023-8_2022-4,7,7,0,1,1,1,0,11,1,0,0,0,1,6,44,1
yntravel.us-2022-8_2022-8,6,7,1,1,1,1,0,11,1,0,0,0,0,0,0,1
thrift2u.com-2024-1_2023-11,4,5,1,1,1,1,0,1,0,0,1,0,1,5,0,1
thrift2u.com-2023-1_2023-11,3,4,1,1,1,1,0,1,0,0,1,0,1,5,0,1
thrift2u.com-2022-1_2023-11,2,3,1,1,1,1,0,1,0,0,1,0,1,5,0,1
thrift2u.com-2021-1_2022-7,1,2,1,1,1,1,0,1,0,0,1,0,0,2,0,1
mystery-boxes.com-2022-10_2021-1,5,6,1,3,1,0,0,1,0,1,0,0,0,3,0,1
mystery-boxes.com-2022-9_2021-1,5,5,0,3,1,0,0,1,0,1,0,0,0,3,0,1
mystery-boxes.com-2021-8_2021-1,4,5,1,3,1,0,0,1,0,1,0,0,0,3,0,1
badboyreport.kr-2023-9_2024-1,0,1,1,999,17,0,1,10,0,0,0,0,0,2,14,1
badboyreport.kr-2023-8_2024-1,0,1,1,999,17,0,1,10,0,0,0,0,0,2,14,1
badboyreport.kr-2023-3_2022-12,1,1,0,999,1,0,1,10,0,0,0,0,1,7,47,1
badboyreport.kr-2022-7_2022-12,0,1,1,999,3,0,1,10,0,0,0,0,1,7,47,1
sncvrs.com-2023-2_2022-12,6,7,1,14,3,0,0,1,0,0,0,0,0,1,23,1
sncvrs.com-2022-2_2022-12,5,6,1,14,3,0,0,1,0,0,0,0,0,1,23,1
sncvrs.com-2022-12_2022-12,5,6,1,14,3,0,0,1,0,0,0,0,0,1,23,1
sncvrs.com-2021-2_2022-12,4,5,1,14,3,0,0,1,0,0,0,0,0,1,23,1
postcron.com-2024-1_2024-1,13,14,1,1,1,1,0,1,0,0,0,0,1,9,10,1
postcron.com-2022-10_2023-3,11,13,2,1,1,1,0,1,0,0,0,0,1,11,10,1
csgoatse.com-2023-8_2023-2,8,9,1,2,3,0,0,1,0,0,0,0,1,1,0,1
csgoatse.com-2022-8_2023-2,7,8,1,2,3,0,0,1,0,0,0,0,1,1,0,1
csgoatse.com-2021-8_2022-12,6,7,1,2,3,0,0,1,0,0,0,0,1,1,0,1
socialcatfish.com-2024-1_2024-2,11,13,2,1,1,1,0,1,0,0,0,1,0,2,1,1
socialcatfish.com-2022-9_2023-12,9,11,2,1,1,1,0,1,0,0,0,1,1,10,12,1
socialcatfish.com-2021-8_2022-12,8,11,3,1,1,1,0,1,0,0,0,1,1,10,12,1
socialcatfish.com-2021-1_2022-12,8,9,1,1,1,1,0,1,0,0,0,1,1,10,12,1
eccooutlets.com-2024-1_2023-4,3,4,1,1,22,0,0,1,0,0,0,0,0,0,0,1
eccooutlets.com-2023-6_2023-4,2,3,1,1,1,1,0,1,0,0,0,0,0,0,0,1
eccooutlets.com-2023-2_2023-4,2,3,1,1,1,1,0,1,0,0,0,0,0,0,0,1
eccooutlets.com-2022-8_2023-4,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,1
neonbeach.com-2023-6_2023-3,8,9,1,1,3,0,0,1,0,0,0,0,1,9,1,1
neonbeach.com-2022-11_2023-3,7,8,1,1,3,0,0,1,0,0,0,0,1,9,1,1
neonbeach.com-2021-12_2022-9,6,8,2,1,1,1,0,1,0,0,0,0,1,9,2,1
neonbeach.com-2021-12_2022-9,6,8,2,11,1,0,0,1,0,0,0,0,1,9,2,1
neonbeach.com-2021-7_2022-2,6,8,2,999,1,0,1,1,0,0,0,0,1,8,3,1
ecommercewiki.org-2022-9_2021-6,8,9,1,1,1,1,1,3,0,0,0,0,1,3,60,1
ecommercewiki.org-2022-6_2021-9,8,9,1,1,1,1,1,3,0,0,0,0,1,3,60,1
ecommercewiki.org-2022-3_2021-9,8,9,1,1,1,1,0,3,0,0,0,0,1,3,60,1
ecommercewiki.org-2021-8_2021-9,7,8,1,9,1,0,0,3,0,0,0,0,1,3,60,1
rachelmadell.com-2022-10_2023-6,4,6,2,1,1,1,0,1,0,0,0,0,0,0,0,1
bonlinesale.com-2023-3_2023-8,0,1,1,4,3,0,1,1,0,0,0,0,0,0,0,1
supremocontrol.com-2023-8_2023-12,10,11,1,11,1,0,0,1,0,0,0,1,1,5,73,1
supremocontrol.com-2023-8_2023-12,10,11,1,11,16,0,0,1,0,0,0,1,1,5,73,1
supremocontrol.com-2023-1_2023-12,10,10,0,11,16,0,0,1,0,0,0,1,1,5,73,1
supremocontrol.com-2023-1_2023-12,10,10,0,11,1,0,0,1,0,0,0,1,1,5,73,1
supremocontrol.com-2022-8_2023-12,9,10,1,1,16,0,0,1,0,0,0,1,1,5,73,1
supremocontrol.com-2021-5_2022-12,8,9,1,1,16,0,0,1,0,0,0,1,0,0,23,1
dailymotion.com-2022-3_2023-12,17,21,4,8,8,1,0,1,0,0,0,1,1,4,11,1
lazajoy.com-2024-1_2023-6,5,6,1,4,3,0,0,1,0,0,0,0,0,0,0,1
lazajoy.com-2023-11_2023-6,4,5,1,4,3,0,0,1,0,0,0,0,0,0,0,1
lazajoy.com-2022-12_2023-6,3,5,2,4,3,0,0,1,0,0,0,0,0,0,0,1
lazajoy.com-2021-12_2022-8,2,5,3,4,3,0,0,1,0,0,0,0,0,0,0,1
lazajoy.com-2021-12_2022-8,2,4,2,4,3,0,0,1,0,0,0,0,0,0,0,1
lazajoy.com-2021-2_2022-12,2,4,2,4,3,0,0,1,0,0,0,0,0,0,0,1
lazajoy.com-2021-2_2022-12,2,3,1,4,3,0,0,1,0,0,0,0,0,0,0,1
haveibeenpwned.com-2024-1_2024-2,11,13,2,15,1,0,1,1,0,0,0,1,1,23,0,1
hllofriend.com-2022-11_2023-8,2,4,2,1,1,1,0,1,0,0,0,0,1,4,4,1
hllofriend.com-2022-5_2023-12,2,4,2,1,1,1,0,1,0,0,0,0,1,4,4,1
inicases.com-2024-2_2024-1,8,9,1,1,1,1,1,1,0,0,0,0,0,1,118,1
inicases.com-2023-12_2024-1,7,9,2,1,1,1,1,1,0,0,0,0,0,1,118,1
inicases.com-2022-11_2023-8,6,8,2,1,1,1,1,1,0,0,0,0,0,0,117,1
inicases.com-2023-5_2024-1,7,8,1,1,1,1,1,1,0,0,0,0,0,1,118,1
inicases.com-2023-3_2023-11,7,8,1,1,1,1,1,1,0,0,0,0,0,1,118,1
inicases.com-2023-1_2023-11,7,8,1,1,1,1,1,1,0,0,0,0,0,1,118,1
inicases.com-2022-9_2023-5,6,7,1,1,1,1,0,1,0,0,0,0,0,0,117,1
inicases.com-2022-5_2023-11,6,7,1,1,1,1,0,1,0,0,0,0,0,1,118,1
inicases.com-2022-1_2023-11,6,7,1,1,1,1,0,1,0,0,0,0,0,1,118,1
inicases.com-2021-12_2022-8,5,7,2,1,1,1,0,1,0,0,0,0,0,0,0,1
inicases.com-2021-5_2022-8,5,6,1,1,1,1,0,1,0,0,0,0,0,0,0,1
inicases.com-2021-1_2022-8,5,6,1,1,3,0,0,1,0,0,0,0,0,0,0,1
inicases.com-2021-1_2022-8,5,6,1,1,1,1,0,1,0,0,0,0,0,0,0,1
inicases.com-2021-3_2022-8,5,6,1,999,1,0,1,1,0,0,0,0,0,0,0,1
pointswithacrew.com-2024-1_2024-1,10,11,1,1,1,1,0,1,0,0,0,0,1,8,71,1
pointswithacrew.com-2023-1_2023-12,9,10,1,1,1,1,0,1,0,0,0,0,1,8,70,1
pointswithacrew.com-2022-3_2023-12,8,9,1,1,1,1,0,1,0,0,0,0,1,8,70,1
pointswithacrew.com-2022-4_2023-12,8,9,1,1,1,1,0,1,0,0,0,0,1,8,70,1
pointswithacrew.com-2022-1_2023-12,8,9,1,1,3,0,0,1,0,0,0,0,1,8,70,1
pointswithacrew.com-2021-1_2022-12,7,8,1,1,3,0,0,1,0,0,0,0,1,9,71,1
solekoi.com-2022-8_2023-1,4,6,2,1,1,1,0,1,0,0,0,0,1,9,1,1
solekoi.com-2024-1_2023-9,6,6,0,1,1,1,0,1,0,0,0,0,1,7,1,1
solekoi.com-2023-10_2023-9,5,6,1,1,3,0,0,1,0,0,0,0,1,7,1,1
gizmodo.com-2023-6_2024-2,21,22,1,1,1,1,0,1,0,0,0,1,0,17,307,1
gizmodo.com-2022-6_2023-12,20,21,1,1,1,1,0,1,0,0,0,1,0,16,232,1
gizmodo.com-2021-6_2022-12,19,20,1,1,1,1,0,1,0,0,0,1,0,26,187,1
ordinarycoders.com-2023-3_2023-6,3,4,1,2,1,0,0,1,0,0,0,0,0,0,0,1
ordinarycoders.com-2022-8_2022-12,2,3,1,2,1,0,0,1,0,0,0,0,0,0,0,1
ordinarycoders.com-2022-3_2023-6,2,3,1,2,1,0,0,1,0,0,0,0,0,0,0,1
ordinarycoders.com-2021-3_2022-12,1,2,1,2,1,0,0,1,0,0,0,0,0,0,0,1
worldtraderfx.com-2023-8_2022-4,4,6,2,2,1,0,0,1,0,0,0,0,0,0,0,1
